Zipcodes,Median income (dollars)
52761,55132
60002,82692
60004,94096
60005,78109
60007,79590
60008,66462
60010,137994
60012,127651
60013,98377
60014,87256
60015,142409
60016,64444
60018,60751
60020,57518
60021,106960
60022,209821
60025,97881
60026,111875
60029,200500
60030,87449
60031,93028
60033,58264
60034,63333
60035,147973
60040,57563
60041,65117
60042,76223
60043,212750
60044,107039
60045,171913
60046,96024
60047,135146
60048,134621
60050,70289
60051,82283
60053,85476
60056,73686
60060,93108
60061,98939
60062,110012
60064,34911
60067,97270
60068,102494
60069,102632
60070,66379
60071,62750
60072,116667
60073,72175
60074,67954
60076,79795
60077,63051
60081,88958
60083,95644
60084,80529
60085,43204
60087,58981
60088,63912
60089,111548
60090,66243
60091,154614
60093,174966
60096,87446
60097,72719
60098,66520
60099,54685
60101,64915
60102,102698
60103,105862
60104,55640
60106,63486
60107,80039
60108,85887
60109,69583
60110,63133
60111,166442
60112,69694
60113,60156
60115,44747
60118,88264
60119,104516
60120,57843
60123,61680
60124,109865
60126,111420
60129,-
60130,59361
60131,63157
60133,74883
60134,117951
60135,65435
60136,104114
60137,107332
60139,65865
60140,94191
60141,-
60142,76730
60143,92561
60144,66875
60145,79107
60146,61673
60148,81504
60150,68250
60151,89205
60152,85133
60153,48600
60154,80412
60155,49236
60156,91066
60157,105644
60160,50571
60162,53728
60163,64934
60164,60191
60165,59022
60169,75275
60171,55508
60172,85787
60173,81250
60174,84957
60175,147625
60176,54617
60177,93388
60178,73524
60180,53500
60181,69488
60184,132629
60185,80058
60187,103510
60188,82232
60189,98750
60190,106581
60191,66687
60192,119013
60193,82559
60194,76704
60195,83862
60201,77699
60202,77931
60203,119750
60301,80282
60302,87904
60304,106898
60305,121908
60401,68044
60402,60814
60403,54530
60404,101911
60406,43504
60407,60972
60408,65559
60409,42718
60410,89398
60411,46771
60415,42306
60416,73245
60417,69491
60419,45463
60420,62669
60421,80960
60422,108375
60423,108295
60424,62237
60425,63444
60426,30015
60428,38978
60429,51742
60430,73251
60431,91333
60432,43357
60433,48039
60435,54372
60436,55550
60437,47031
60438,52028
60439,93489
60440,73813
60441,74544
60442,91700
60443,73544
60444,73438
60445,60784
60446,77110
60447,75485
60448,104327
60449,74568
60450,72122
60451,108154
60452,75844
60453,62455
60455,53893
60456,49359
60457,66413
60458,50371
60459,60095
60460,61429
60461,99595
60462,83324
60463,85457
60464,87621
60465,59104
60466,51324
60467,98358
60468,83414
60469,47010
60470,82500
60471,55625
60472,26661
60473,62951
60474,69688
60475,47516
60476,57461
60477,65590
60478,59104
60479,85214
60480,83505
60481,61090
60482,57218
60484,55000
60487,98072
60490,121472
60491,103058
60501,48793
60502,111802
60503,112716
60504,81068
60505,49423
60506,61231
60510,95026
60511,88750
60512,64482
60513,81033
60514,106866
60515,88949
60516,88474
60517,83883
60518,56111
60519,83750
60520,71908
60521,183500
60523,103464
60525,83859
60526,95085
60527,94060
60530,75417
60531,66971
60532,82952
60534,60700
60536,71250
60537,66932
60538,78193
60539,-
60540,118451
60541,85179
60542,81947
60543,101999
60544,76225
60545,72542
60546,79266
60548,70318
60549,-
60550,58125
60551,68750
60552,77333
60553,61667
60554,111558
60555,82106
60556,78092
60557,66250
60558,161563
60559,67598
60560,95878
60561,93118
60563,89305
60564,148855
60565,129456
60585,128818
60586,104785
60601,103243
60602,157125
60603,151765
60604,116250
